text,label,lang
last dirty tank tap area wter morning drain afected action water supply,water,local
mter drain old ilegal month many authority unsafe,tenure,local
our illegal help title tank needed plot power delayed water unsafe,tenure,local
dirty dirty ligt wste children powr still,sanitation,local
drin since action area unsafe unsafe path flood waste lght still sill,sanitation,local
supply action many suppy cut lght action since supply water cut cut metr ofice,water,local
dirty area please supply affected meter request meter,power,local
title dain delayed again came light affeced food,sanitation,local
authorty cut again metr smell community came path office light diry power,power,local
broken pipe wire drain people cut nobody blocked flood tank,power,local
supply dirty urgent drain supply cut families came,water,local
affected illegal title peole street office lese cut,tenure,local
power water needed cut again wire comunity power plese wire unsafe many,power,local
blocked wase action unafe dlayed flood our mnth needed,sanitation,local
ward supply land action cut last tap suply tank,water,local
damaed needed help acion dust,road,local
noody promised damagd road came meter stret smell,road,local
pipe needed tank still came diry night our street missing damaged tank,water,local
families unafe metr old ligt please unsafe wire,power,local
waer water area metr since cut urgent pipe tap meer our,water,local
wire illegal power lese leae fmilies authority plot old title flood delayed,tenure,local
plot came illegl smell area promised pople afected meter illegal,power,local
pipe pipe delayed our ugent wire street many waer supply,water,local
promised flood smll steet plot again flood requet many,road,local
wire delayd illegl missig came came cut power,power,local
watr suply pipe since morning spply dust pipe our,water,local
neded smell watr authrity wire blockd nght path still,sanitation,local
power illegal flood ligt ward our damaged wire night,power,local
last dmaged plot missig plot since,tenure,local
light path request wire still cut dust road lease road,road,local
tank plot promised supply comunity month delyed,tenure,local
moning cut path meer promied dust night street unsafe,road,local
plot community plot leae missing tank came old illegal people,tenure,local
blcked tap morning wase cut water since power dirty help,water,local
help neded land lase area families month plot unsafe plot,tenure,local
urgent urgnt unsafe please since brken came water flod smell,sanitation,local
unsafe dust wase wire delayed wate wire still many promised,power,local
dust path still old missing affected last tap cut street our,water,local
ilegal ilegal diry plot old ofice,tenure,local
flood water area road water our action road famiies road road power tite,road,local
lase cut pipe still children children illeal sill leae plase boken,tenure,local
illegal community promised flod aain blocked street tank help blocked,road,local
delayed last light please ward authority old children land,tenure,local
offie unsafe road road blocked path requst last,road,local
wire tap street smell action promisd wter water cut ward families,water,local
cut authority supply pipe boken unsafe water needed missing flood ward,water,local
damaged dust street sice blocked damaged road children smell many,road,local
smell waste delayed wase title since auhority nobody delayd,tenure,local
area community help title ilegal cut again dain tank plot,tenure,local
morning pipe tank path ofice water since please water please waer power,water,local
requst morning affeted pipe drty unafe agan wate road,road,local
wter cut promised nobody wire pipe community water lease people action,water,local
land illegal famiies noody help delayed old illgal road dust,tenure,local
since sill broken dust lght cut tap flod cut again supply diry land,water,local
pleae road path road steet land ward street road,road,local
blocked tank tap chldren damaged came pipe cut affected water water snce,water,local
lease dirty tank children drin tap pipe,water,local
missing community please tank old old again delayed,tenure,local
month mter office metr water pipe offie street,water,local
wire tank street people our drain neded,water,local
please nobody request plot needed land morning old,tenure,local
children office help title area since blocked,road,local
land month illegal missing reuest affectd families lease power dirty,tenure,local
our water still tap water unsafe needed,water,local
poer illegl acton peple waste cut dity office mrning,sanitation,local
wste flood dust request old ward month came morning,sanitation,local
since suply pipe last area supply pipe help office,water,local
sreet dust plot month road children dust ward wire since road,road,local
children communiy month delayed plot light moth,power,local
community blocked morning drain power path dirty flood,sanitation,local
waer old since land help old illegal lease plot cut blocked,tenure,local
dirty dirty chidren night,sanitation,local
morning last morning missing many please plot land flood lease land,tenure,local
since authority old street path people wire month,road,local
waste wire illeal water urgent still cut mter,power,local
request water pipe families pipe please tank smell,water,local
pwer unsfe people title water office light missing meer meter community,power,local
wire came tank mter usafe suply promised cut,power,local
road dust moring wire lease wire land dust ugent peole street watr came street,road,local
missing chldren wate dust tap cut broken,water,local
road power wire needed power cut help tank dain meter,power,local
water unafe please cut broken pipe authority families needed,power,local
flood mssing our waste drain waste autority waste flood affected,sanitation,local
cut suply unsafe supply supply promised dirty,water,local
unsafe bloked again wire broken many blocked families ward waste month,power,local
pipe ation water broken water light broken families drain lease light needed,water,local
cut our needed supply tank please,water,local
ilegal peole poer steet needed area road dirty path drin drain,sanitation,local
illegal help again flood authorty street street path,road,local
since still stret noody plot street street mnth plot road community cut,road,local
plese wire road flood ward area,road,local
title reuest tite lease action,tenure,local
came dust request dirty wire road flood dirty drain our promised,sanitation,local
drain illegal came land needed office lease,tenure,local
cut street morning communiy water tank damaed land blocked damaged illegal came path damaged,road,local
nigt path waste land blocked month bocked,sanitation,local
illegal autority water mnth mter last request flood,tenure,local
broken nbody light people nobody dirty morning path supply pipe,water,local
night drain people drain help tap action flod drty,sanitation,local
wate our wate smell ward many drain office,sanitation,local
plot mising,tenure,local
missing mornig nobody road again land path land nobdy dlayed,tenure,local
street flood blocked drty still road dust,road,local
wste path our wste light niht night flood wire moning waste,sanitation,local
tile athority damagd peope ward promised street tank meter,road,local
water dust affcted still water poer,water,local
authority sreet flood road title children damaged acion smell,road,local
offie blocked dran mter wire bocked supply nobody,sanitation,local
needed affected wste affected action broken broken flood brokn,sanitation,local
power nobody month water broken area dust wire powr light,power,local
street street watr unsafe flood night road help missing families,road,local
since unsafe last path action,road,local
ilegal meter broken blocked nobody wire tank wter ward,water,local
supply cut needed blocked unsafe affected title,power,local
still broken water affected water ward month dust power many mter,power,local
illegal our last delayed promised illegal plot tite plot damaged,tenure,local
our street help light road waste needed unsafe road road road,road,local
cildren illgal smell land acton old broken illegal since dirty dirty area,sanitation,local
children requst missing request morning month please pipe supply diry,water,local
broken affected affeced lease title path came morning month land delayed old plot,tenure,local
area waste blcked smell road wter diry old please,sanitation,local
dirty waste families many smll smell bocked damaged,sanitation,local
road urgent stret broken road dust our,road,local
blocked unsafe office morning urget,road,local
cut tap waste month morning tap agin cut request cut,water,local
flod water ligt dity request smell drain last ward children unafe help dran,sanitation,local
drty lese missing community lase community ttle lease affected,tenure,local
street damaged tank community unsae area street pipe,road,local
