text,label,lang
last dirty road tank tap area water morning drain affected action water supply blocked,water,en
meter street people drain old illegal month land lease many authority unsafe,tenure,en
our illegal help cut title tank urgent needed plot power delayed water unsafe,tenure,en
supply dirty cut dirty light waste children power ward still power waste,sanitation,en
request drain since action area unsafe unsafe water path tank flood waste light still still delayed,sanitation,en
supply action many supply cut light action since tank supply water cut cut meter affected office,water,en
dirty cut cut area still please supply broken affected meter request meter meter,power,en
title drain dirty cut delayed again blocked came light urgent affected last flood,sanitation,en
authority cut light again meter smell community came path office light request dirty supply power,power,en
broken pipe wire drain people cut nobody blocked office lease flood tank water,power,en
supply dirty tap tank urgent drain supply month cut families blocked cut light came,water,en
affected illegal title people street office lease night land people cut lease cut,tenure,en
supply power water urgent needed cut again wire illegal community power please wire unsafe many,power,en
blocked waste action unsafe delayed urgent flood our month needed flood please,sanitation,en
ward supply land broken action authority cut last action tap unsafe supply tank,water,en
damaged blocked wire unsafe needed help action dust,road,en
our nobody promised damaged road came meter street smell dust please,road,en
pipe needed tank still came dirty night our street missing damaged tank supply,water,en
families unsafe since meter old light please affected unsafe unsafe illegal month wire,power,en
drain water water area community tap needed water meter meter since cut urgent pipe tap meter our,water,en
wire illegal power lease lease people families authority plot old title flood delayed,tenure,en
plot came illegal smell area promised unsafe people affected meter illegal,power,en
tap pipe pipe delayed our urgent again wire nobody street many water supply month,water,en
promised flood smell street path plot again help flood road request many,road,en
illegal wire delayed illegal missing title came came cut power please delayed,power,en
water supply pipe broken damaged meter since morning supply dust pipe our,water,en
needed smell water lease authority wire blocked blocked night path still morning,sanitation,en
power illegal area flood please light ward cut lease our damaged wire meter action night,power,en
request ward last unsafe damaged plot missing land plot plot affected since,tenure,en
light path affected request wire still cut dust road request lease meter road road,road,en
missing tank again plot promised land supply community our month plot delayed,tenure,en
our area morning cut path damaged meter promised our road dust night street unsafe blocked,road,en
plot community plot lease missing tank came old old illegal people,tenure,en
tank blocked tap morning waste cut water since power ward dirty help,water,en
help needed land land lease area land families month plot unsafe plot office,tenure,en
urgent delayed urgent unsafe affected path please since broken plot came water flood smell,sanitation,en
unsafe dust waste cut wire delayed waste wire still many promised wire since light,power,en
dust path still old tank cut missing affected last supply tap cut tank street our,water,en
illegal land illegal dirty affected plot old office office still,tenure,en
flood water area road again water our action road families road road road power title,road,en
lease cut pipe community still children children illegal still lease land please supply broken,tenure,en
illegal community promised flood again blocked street tank supply road help blocked,road,en
delayed land last light please ward authority old pipe children land,tenure,en
office dust waste unsafe road road blocked blocked path request last,road,en
families wire tap street smell action promised water request water land cut pipe tank ward families street,water,en
cut authority supply tank pipe broken unsafe broken water needed missing flood path ward water,water,en
damaged dust street since blocked damaged road children smell many light,road,en
lease smell waste delayed waste title since authority nobody delayed plot,tenure,en
area community missing help last wire title illegal cut again drain tank plot,tenure,en
morning broken pipe tank path office water power since please water please water dirty power,water,en
street unsafe request morning affected pipe dirty unsafe again road waste night road,road,en
path water cut promised nobody wire pipe community cut water lease people action,water,en
land illegal families action nobody cut help delayed dirty month delayed old illegal road dust,tenure,en
since still broken dust light cut tap flood cut again supply dirty land,water,en
broken please road path road street families land ward street road,road,en
cut blocked tank tap children damaged came pipe came cut land affected water water supply since,water,en
lease dirty tank needed children last drain tap pipe,water,en
missing land community please land tank old old again again plot delayed,tenure,en
tap month still meter office meter since water pipe office street,water,en
night wire broken road wire urgent tank street people morning our tap drain pipe needed supply,water,en
pipe please nobody lease drain request plot land illegal needed land morning old,tenure,en
dust children office help title area since road street blocked old,road,en
land month still people cut illegal missing request affected families lease power dirty,tenure,en
